SAMEA10944539,data/IPK_Wheat/ERR7472980_1.fastq.gz
SAMEA10944539,data/IPK_Wheat/ERR7473172_1.fastq.gz
SAMEA10944539,data/IPK_Wheat/ERR7473173_1.fastq.gz
SAMEA10944539,data/IPK_Wheat/ERR7473557_1.fastq.gz
SAMEA10944539,data/IPK_Wheat/ERR7473558_1.fastq.gz
SAMEA10944539,data/IPK_Wheat/ERR7473941_1.fastq.gz
SAMEA10944540,data/IPK_Wheat/ERR7472981_1.fastq.gz
SAMEA10944540,data/IPK_Wheat/ERR7473174_1.fastq.gz
SAMEA10944540,data/IPK_Wheat/ERR7473175_1.fastq.gz
SAMEA10944540,data/IPK_Wheat/ERR7473559_1.fastq.gz
SAMEA10944540,data/IPK_Wheat/ERR7473560_1.fastq.gz
SAMEA10944540,data/IPK_Wheat/ERR7473942_1.fastq.gz
